division,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Hawaiʻi Mauka,0.03806629005716177,0.06566594361097719,1.0491346953347171,-1.8607356053672408,0.9207742963055274,-1.160019116914,0.07592839673802014,1.2346462017454973,0.20501496908504396,0.1974247676909342,-0.3081657517651097,-0.507024878546563
Hilo,0.16869765923796468,-0.03699378651561583,0.46231548132474654,-2.008299901855637,-0.1665942269676933,-1.3279169491268188,-0.2846062431703665,-2.156248577159682,-0.4061406784355586,-0.04360785232371957,-0.8446686805653925,-1.2337522702207742
Kaʻu,0.549397193108525,0.12885859944615816,0.8785719293325855,-1.4578769104038138,0.47173878514091416,-0.9800685948892316,0.01676654398474744,0.14613010408633623,0.1186532063893368,0.25092283239273694,-0.1982976565786245,-0.36852461835740324
Kona,0.30127557821131057,-0.038568291422816064,0.9538374103483607,-1.515916298222559,1.5467932137606915,-0.9672021519177655,-0.057602521443655894,1.056529517523833,-0.03605867196896717,1.278930055016037,-0.39607466074371883,-0.5102860116992605
Koʻolau,-0.826162875221533,0.04948903541412827,-0.6456787217545414,-1.4937157316127603,1.1470976579807266,-1.1730910950653521,-0.40130466500055384,1.2863099523704031,0.4019207604120514,-0.8869884837450155,-0.3468575629292202,-2.181716603898981
Leeward Kauaʻi,-0.6844346212953145,-0.48405963034107946,-1.3037663785294853,-1.0914960488505747,0.245709469484008,-0.0727473177473763,-0.8803960324525237,0.985223599137931,0.5114305640148675,-0.06447829552020864,-0.4896531226574213,-1.416166526111944
Leeward Kohala,-0.38727031350786445,0.1833045462051578,0.2198746895002233,-1.1668984754887368,1.0774491493624094,-1.027649598094671,-0.0635565738539806,0.6839933585609557,-0.07966289575154126,0.4719936760382554,-0.21798799633447455,-0.3691199589334003
Leeward Maui Nui,-0.659705361021472,-0.305835593501947,-0.7744080292247123,-1.477284090487841,1.0920258980204627,-1.0457300007413997,-0.9523393479389086,0.6533396584000594,-0.6587463161699288,-0.6451951503188019,-0.7128587100570878,-0.5963002414182977
Waianae,-1.3461816684472934,-0.6023705479271886,-0.5121490154449139,-1.4562550080128205,1.1898358079998705,-0.9454460470085471,-0.649064639787296,0.8442878555183243,0.35947686753350816,-0.23817460841386623,-0.3793985148965618,-1.4982985402907278
Windward Kauaʻi,-0.7751321192944661,0.03965879465732084,-0.6520043790813922,-1.2144386350057224,0.13653742783930253,-1.4149834430119832,-0.6697034731806247,1.5511751885014138,0.7154187476858085,0.18664669120586205,-0.2916092282592231,-1.3502875908846101
Windward Kohala,-0.0045995333551646705,-0.0333600357877994,-0.23805744760479042,-2.449087013473054,0.004156729509730539,-1.942287612275449,-0.33905206773952096,-0.6797047623502994,-0.5840090755988024,-0.5508562874251497,-1.0521302395209582,-1.3801869386227545
Windward Maui Nui,-0.6123517528662515,0.12242903975193453,-0.6747403745771717,-2.047776784110639,1.1152116900781297,-1.8938616940070645,-1.0943195786310842,-0.23152009088936118,-0.6999702757363947,-0.7592890077755493,-0.7954246266576364,-1.672096470319703
